2026-04-07 10:10:23,416 - api - INFO - FastAPI crawler service starting
2026-04-07 10:10:34,632 - priority_calculator - WARNING - HTTP 403 for category 5060, region 7
2026-04-07 10:10:34,633 - priority_calculator - INFO - Route Điện thoại in Thanh Nghệ Tĩnh: avg_interval=1800.00s, priority=0
2026-04-07 10:10:34,633 - priority_calculator - WARNING - HTTP 403 for category 5060, region 8
2026-04-07 10:10:34,634 - priority_calculator - INFO - Route Thiết bị chơi game in Đông Bắc Bộ: avg_interval=1800.00s, priority=0
2026-04-07 10:10:34,634 - priority_calculator - WARNING - HTTP 403 for category 5060, region 13
2026-04-07 10:10:34,634 - priority_calculator - WARNING - HTTP 403 for category 5060, region 9
2026-04-07 10:10:34,635 - priority_calculator - WARNING - HTTP 403 for category 5060, region 11
2026-04-07 10:10:34,636 - priority_calculator - WARNING - HTTP 403 for category 5090, region 3
2026-04-07 10:10:34,636 - priority_calculator - WARNING - HTTP 403 for category 5090, region 5
2026-04-07 10:10:34,636 - priority_calculator - WARNING - HTTP 403 for category 5090, region 7
2026-04-07 10:10:34,636 - priority_calculator - WARNING - HTTP 403 for category 5090, region 6
2026-04-07 10:10:34,637 - priority_calculator - INFO - Route Mẹ và bé in Đông Bắc Bộ: avg_interval=1800.00s, priority=0
2026-04-07 10:10:34,637 - priority_calculator - WARNING - HTTP 403 for category 5090, region 9
2026-04-07 10:10:34,640 - priority_calculator - WARNING - HTTP 403 for category 5090, region 13
2026-04-07 10:10:34,641 - priority_calculator - WARNING - HTTP 403 for category 5060, region 12
2026-04-07 10:10:34,642 - priority_calculator - INFO - Route Thiết bị chơi game in Bình Trị Thừa Thiên Huế: avg_interval=1800.00s, priority=0
2026-04-07 10:10:34,643 - priority_calculator - INFO - Route Mẹ và bé in Bình Trị Thừa Thiên Huế: avg_interval=1800.00s, priority=0
2026-04-07 10:10:34,643 - priority_calculator - WARNING - HTTP 403 for category 5090, region 1
2026-04-07 10:10:34,646 - priority_calculator - INFO - Route Điện thoại in Đông Nam Bộ: avg_interval=406.00s, priority=200
2026-04-07 10:10:34,647 - priority_calculator - INFO - Route Đồ thể thao, Dã ngoại in Hà Nội: avg_interval=1742.76s, priority=8
2026-04-07 10:10:34,647 - priority_calculator - INFO - Route Mẹ và bé in Quảng Nam Đà Nẵng: avg_interval=3430.00s, priority=0
2026-04-07 10:10:34,648 - priority_calculator - INFO - Route Mẹ và bé in Tây Nguyên: avg_interval=1800.00s, priority=0
2026-04-07 10:10:34,648 - priority_calculator - INFO - Route Thiết bị chơi game in Tây Nguyên: avg_interval=1800.00s, priority=0
2026-04-07 10:10:34,648 - priority_calculator - INFO - Route Đồng hồ in Tây Bắc Bộ: avg_interval=1800.00s, priority=0
2026-04-07 10:10:34,648 - priority_calculator - INFO - Route Mẹ và bé in Cần Thơ - Tây Nam Bộ: avg_interval=1800.00s, priority=0
2026-04-07 10:10:34,650 - priority_calculator - INFO - Route Mẹ và bé in Hải Phòng Nam Định Thái Bình: avg_interval=1800.00s, priority=0
2026-04-07 10:10:34,650 - priority_calculator - INFO - Route Đồ thể thao, Dã ngoại in Đông Bắc Bộ: avg_interval=1800.00s, priority=0
2026-04-07 10:10:34,651 - priority_calculator - INFO - Route Mẹ và bé in Các tỉnh lân cận Hà Nội: avg_interval=1800.00s, priority=0
2026-04-07 10:10:34,651 - priority_calculator - WARNING - HTTP 403 for category 5030, region 1
2026-04-07 10:10:34,651 - priority_calculator - WARNING - HTTP 403 for category 5030, region 2
2026-04-07 10:10:34,652 - priority_calculator - INFO - Route Mẹ và bé in Nam Trung Bộ: avg_interval=1800.00s, priority=0
2026-04-07 10:10:34,652 - priority_calculator - INFO - Route Thiết bị chơi game in Thanh Nghệ Tĩnh: avg_interval=1800.00s, priority=0
2026-04-07 10:10:34,654 - priority_calculator - INFO - Route Đồ thể thao, Dã ngoại in Nam Trung Bộ: avg_interval=1800.00s, priority=0
2026-04-07 10:10:34,655 - priority_calculator - INFO - Route Thiết bị chơi game in Nam Trung Bộ: avg_interval=1800.00s, priority=0
2026-04-07 10:10:34,656 - priority_calculator - WARNING - HTTP 403 for category 5030, region 3
2026-04-07 10:10:34,659 - priority_calculator - INFO - Route Điện thoại in Đông Bắc Bộ: avg_interval=1800.00s, priority=0
2026-04-07 10:10:34,659 - priority_calculator - INFO - Route Đồng hồ in Đông Bắc Bộ: avg_interval=1800.00s, priority=0
2026-04-07 10:10:34,659 - priority_calculator - INFO - Route Thiết bị chơi game in Tây Bắc Bộ: avg_interval=1800.00s, priority=0
2026-04-07 10:10:34,660 - priority_calculator - WARNING - HTTP 403 for category 3050, region 13
2026-04-07 10:10:34,660 - priority_calculator - INFO - Route Mẹ và bé in Tp Hồ Chí Minh: avg_interval=373.00s, priority=205
2026-04-07 10:10:34,661 - priority_calculator - INFO - Route Đồng hồ in Quảng Nam Đà Nẵng: avg_interval=1800.00s, priority=0
2026-04-07 10:10:34,662 - priority_calculator - INFO - Route Đồng hồ in Thanh Nghệ Tĩnh: avg_interval=1800.00s, priority=0
2026-04-07 10:10:34,663 - priority_calculator - INFO - Route Đồng hồ in Hải Phòng Nam Định Thái Bình: avg_interval=1800.00s, priority=0
2026-04-07 10:10:34,666 - priority_calculator - WARNING - HTTP 403 for category 5030, region 7
2026-04-07 10:10:34,666 - priority_calculator - INFO - Route Thiết bị chơi game in Cần Thơ - Tây Nam Bộ: avg_interval=1800.00s, priority=0
2026-04-07 10:10:34,667 - priority_calculator - INFO - Route Đồng hồ in Đông Nam Bộ: avg_interval=1800.00s, priority=0
2026-04-07 10:10:34,668 - priority_calculator - INFO - Route Thiết bị chơi game in Hà Nội: avg_interval=1800.00s, priority=0
2026-04-07 10:10:34,669 - priority_calculator - INFO - Route Điện thoại in Nam Trung Bộ: avg_interval=1977.50s, priority=0
2026-04-07 10:10:34,670 - priority_calculator - INFO - Route Thiết bị chơi game in Tp Hồ Chí Minh: avg_interval=1938.50s, priority=0
2026-04-07 10:10:34,670 - priority_calculator - INFO - Route Đồng hồ in Hà Nội: avg_interval=3189.00s, priority=0
2026-04-07 10:10:34,671 - priority_calculator - INFO - Route Thiết bị chơi game in Đông Nam Bộ: avg_interval=1800.00s, priority=0
2026-04-07 10:10:34,671 - priority_calculator - INFO - Route Đồng hồ in Cần Thơ - Tây Nam Bộ: avg_interval=1800.00s, priority=0
2026-04-07 10:10:34,681 - priority_calculator - INFO - Route Điện thoại in Tây Bắc Bộ: avg_interval=1800.00s, priority=0
2026-04-07 10:10:34,681 - priority_calculator - INFO - Route Đồng hồ in Nam Trung Bộ: avg_interval=1800.00s, priority=0
2026-04-07 10:10:34,681 - priority_calculator - INFO - Route Điện thoại in Quảng Nam Đà Nẵng: avg_interval=330.00s, priority=211
2026-04-07 10:10:34,684 - priority_calculator - INFO - Route Điện thoại in Hải Phòng Nam Định Thái Bình: avg_interval=1301.01s, priority=71
2026-04-07 10:10:34,685 - priority_calculator - WARNING - HTTP 403 for category 5030, region 4
2026-04-07 10:10:34,692 - priority_calculator - INFO - Route Điện thoại in Hà Nội: avg_interval=144.05s, priority=238
2026-04-07 10:10:34,703 - priority_calculator - WARNING - HTTP 403 for category 5030, region 12
2026-04-07 10:10:34,711 - priority_calculator - WARNING - HTTP 403 for category 5030, region 6
2026-04-07 10:10:34,712 - priority_calculator - WARNING - HTTP 403 for category 5060, region 2
2026-04-07 10:10:34,713 - priority_calculator - WARNING - HTTP 403 for category 5060, region 13
2026-04-07 10:10:34,714 - priority_calculator - WARNING - HTTP 403 for category 5090, region 9
2026-04-07 10:10:34,714 - priority_calculator - WARNING - HTTP 403 for category 5090, region 1
2026-04-07 10:10:34,715 - priority_calculator - WARNING - HTTP 403 for category 5030, region 1
2026-04-07 10:10:34,716 - priority_calculator - WARNING - Failed to fetch data for category 5030, region 1
2026-04-07 10:10:34,716 - priority_calculator - WARNING - HTTP 403 for category 5060, region 7
2026-04-07 10:10:34,727 - priority_calculator - WARNING - HTTP 403 for category 5030, region 2
2026-04-07 10:10:34,727 - priority_calculator - WARNING - Failed to fetch data for category 5030, region 2
2026-04-07 10:10:34,727 - priority_calculator - WARNING - HTTP 403 for category 5030, region 3
2026-04-07 10:10:34,728 - priority_calculator - WARNING - Failed to fetch data for category 5030, region 3
2026-04-07 10:10:34,728 - priority_calculator - WARNING - HTTP 403 for category 3050, region 13
2026-04-07 10:10:34,728 - priority_calculator - WARNING - Failed to fetch data for category 3050, region 13
2026-04-07 10:10:34,744 - priority_calculator - WARNING - HTTP 403 for category 5030, region 7
2026-04-07 10:10:34,745 - priority_calculator - WARNING - Failed to fetch data for category 5030, region 7
2026-04-07 10:10:34,764 - priority_calculator - WARNING - HTTP 403 for category 5030, region 4
2026-04-07 10:10:34,765 - priority_calculator - WARNING - Failed to fetch data for category 5030, region 4
2026-04-07 10:10:34,771 - priority_calculator - WARNING - HTTP 403 for category 5090, region 11
